Year,Month,Date,Rent,Mortgage,Food,Water,Electricity,EMI,Utilities
2023,November,6,10401.61,63241.17,9408,124.13,5683.09,7682.13,2696
2023,January,1,22985.31,48184.43,1820,572.78,6064.89,1869.51,4307
2024,September,14,33921.26,50310.04,9746,491.02,9581.08,1210.54,1675
2023,May,28,47344.48,96930.91,9700,121.3,7758.84,1873.24,1111
2023,March,25,39433.03,66356.97,3169,150.92,6756.7,17437.73,4632
2023,November,8,36996.84,65006.01,2142,248.03,6674.91,7011.89,961
2023,December,13,22171.2,73256.84,6342,296.37,1542.74,14126.77,4818
2024,June,7,39961.92,11580.58,9150,877.04,2193.71,3743.94,3455
2023,November,10,38785.27,92649.55,4193,821.07,2838.98,2983.55,3981
2024,April,29,15618.69,82427.56,4572,696.7,6274.31,3044.27,1447
2024,March,8,14445.33,61149.66,168,673.28,2368.5,8182.4,2388
2024,March,11,19385.24,98860.6,7523,223.22,8131.67,17473.66,3930
2023,February,10,42926.09,84082.72,6163,559.29,9792.01,14048.75,3275
2024,November,8,32494.9,81563.44,6821,603.98,7061.17,9905.43,1281
2024,April,27,36270.53,84382.2,3909,528.01,8444.12,16685.46,2512
2024,December,12,38982.16,22716.0,4925,332.17,5309.76,6881.65,4316
2023,January,15,28247.29,39490.05,5687,297.28,9518.82,8079.14,4879
2023,November,8,5601.71,53150.05,529,293.25,2410.63,10513.91,716
2024,July,14,31365.81,79252.62,1438,696.46,9293.64,19512.54,4365
2023,August,29,43509.92,19223.92,6112,170.08,4829.11,10769.83,4521
2023,June,23,29135.16,48020.15,27,206.1,7594.34,6307.78,4241
2024,September,29,18306.76,74985.91,4772,804.45,4390.97,16177.66,4110
2023,January,7,43190.63,36742.22,5024,710.2,9627.31,1444.4,4775
2024,August,2,28190.11,82518.39,4758,995.83,2582.77,6742.1,4372
2023,April,4,43850.69,20636.16,7426,123.55,713.77,18587.22,2065
2024,July,11,26160.58,86442.85,321,772.97,9511.76,17596.82,3527
2023,March,14,31638.06,77582.65,6137,492.63,7040.76,18198.52,1701
2024,November,8,6441.9,42338.43,7070,213.57,434.59,6305.65,4681
2024,June,23,38968.91,13350.09,8684,481.91,4863.36,7832.48,2128
2023,October,22,27243.54,41971.42,6653,529.62,7314.05,2495.83,334
2023,June,8,10491.59,73458.38,78,459.29,6472.12,6918.01,1441
2024,July,6,40012.75,80469.05,3185,123.14,9231.03,11309.5,1115
2024,April,6,36773.89,11926.43,2353,885.12,8563.67,18960.1,1772
2024,August,11,33179.89,16642.62,3819,853.11,370.29,16810.41,3077
2023,September,6,3715.96,41393.04,9441,983.36,3749.58,17935.94,4230
2023,September,19,11330.64,81748.04,8852,355.62,3107.12,1620.59,2141
2024,May,9,8293.17,18147.19,8033,139.68,4962.24,9364.23,3847
2023,December,15,18979.94,17050.94,7616,997.27,2387.66,16312.61,1423
2024,December,15,37005.66,28879.84,9611,553.12,3277.49,11085.65,3838
2023,May,28,18221.74,21387.42,843,505.94,4333.37,19327.73,3698
2024,September,14,48904.37,31282.68,5472,774.8,6065.97,9587.96,1647
2023,October,22,17572.18,40652.33,3136,821.08,4642.64,13383.55,214
2024,April,16,12555.23,72915.7,2156,149.82,2835.23,5900.04,4405
2024,September,10,580.33,17198.91,4202,736.68,1047.75,8582.48,2771
2023,August,16,48968.92,24412.57,5534,624.08,5624.25,1134.07,2601
2024,July,25,38316.39,88608.61,4054,444.61,2468.4,3734.12,3456
2024,June,24,23125.11,51295.16,1148,814.42,3365.28,6197.98,4847
2024,May,18,28031.47,32013.93,5203,851.73,5184.56,6959.46,2898
2023,May,29,49816.65,62361.15,3192,727.42,2725.05,7481.62,1693
2024,March,18,45508.4,28770.37,7864,321.38,2670.05,19700.98,3774
2024,July,1,3685.87,49466.55,1601,255.35,9701.75,630.76,3427
2023,April,3,5166.57,84892.56,5884,412.86,2169.11,13122.65,4671
2023,May,18,17917.85,98792.56,7663,539.33,5220.33,9746.46,4178
2024,May,28,2561.55,80234.48,745,171.46,8699.59,16614.44,378
2023,September,22,28995.02,50192.64,9592,482.92,9547.06,5573.84,4685
2023,September,23,35125.82,58389.96,71,233.25,1640.71,4992.73,2316
2023,July,14,27470.04,45674.58,8432,282.77,8334.95,3943.36,2234
2024,July,6,33029.37,89031.96,8495,521.79,4150.17,2911.0,1209
2024,October,24,30590.16,41591.5,6613,758.58,1020.28,17467.82,548
2024,July,12,9408.04,69677.53,8106,130.8,2652.65,8174.29,2056
2024,April,24,26398.89,11542.7,7704,662.23,3652.83,3788.29,3442
2023,May,14,7394.28,98132.59,501,894.4,483.06,10753.57,514
2024,March,18,3605.94,71936.73,8974,188.16,2964.1,3959.13,4086
2024,December,12,1184.72,47677.26,8354,957.48,2134.27,17335.39,3429
2023,December,7,16027.26,65173.39,5581,768.97,9758.03,17069.46,2674
2024,January,30,29101.07,28849.53,7304,481.91,2248.0,8059.24,1242
2023,April,23,31910.45,40462.57,4911,669.77,1449.78,11329.32,2721
2023,August,7,41163.52,20359.67,6825,275.25,247.17,13348.56,1206
2023,April,5,29051.88,52365.1,1691,445.03,6544.03,12842.49,293
2023,May,28,6582.53,98214.74,5185,614.16,1942.48,3060.1,163
2023,May,29,38909.15,40739.68,9936,572.7,3768.36,7552.67,3481
2023,November,4,17232.93,68856.19,8872,635.36,1865.94,9492.76,320
2023,October,30,46357.61,87619.14,2140,455.62,5432.51,14510.33,2956
2023,February,2,6099.84,59929.14,2811,308.95,1754.27,11681.95,2145
2024,February,6,40745.46,77189.82,2069,183.6,3341.0,9499.63,469
2023,May,17,8598.41,28595.12,6125,920.68,8966.69,6533.8,3778
2023,December,10,10768.73,41596.85,4325,472.88,5990.22,7804.15,2466
2023,January,21,17772.25,25768.97,7457,366.6,9087.87,3982.26,3726
2024,February,11,32788.63,37458.39,5712,304.16,8077.41,15108.54,1719
2024,July,27,10977.66,86895.09,3263,385.82,9139.13,17303.22,3870
2024,June,8,22803.27,20221.44,4583,186.95,1783.74,93.35,833
2024,September,22,41735.43,46212.27,4291,916.4,1663.45,8808.59,2945
2023,May,23,21505.23,25895.55,8554,866.13,7797.87,17623.07,1888
2024,October,25,580.11,20398.31,1198,243.91,7998.95,620.5,2596
2024,May,13,41570.0,12471.74,8418,358.81,7664.28,19303.0,2265
2023,November,6,13227.34,13612.24,6554,989.35,9486.26,13965.54,4401
2023,August,2,47656.55,15956.84,1989,668.32,8825.75,11100.35,686
2024,November,26,10647.85,97493.97,72,812.56,4644.44,6701.29,2777
2024,April,22,8897.2,62435.4,9985,819.17,9532.82,1121.79,1566
2023,September,2,3038.8,47398.82,4904,752.88,5079.04,5198.31,1607
2023,August,24,44072.65,49087.63,5953,261.1,8383.25,11846.22,4196
2024,August,21,41687.01,81990.44,1264,232.56,4303.74,13980.81,3232
2024,July,17,39311.71,87533.34,2273,637.89,601.74,14993.76,827
2024,June,29,7753.74,74414.24,7649,795.6,8294.64,9699.32,1600
2023,April,16,10145.86,68200.16,2398,492.36,5396.67,17545.48,994
2024,October,8,33555.94,89071.89,1309,262.22,909.79,299.08,697
2024,May,15,32836.86,31880.77,9538,539.72,6295.77,4133.83,3761
2024,January,8,34704.46,71212.71,978,121.19,3327.74,11424.91,4992
2023,February,20,12076.57,14237.25,1925,879.93,5197.95,4869.02,2962
2023,January,4,30426.74,95726.39,6241,691.52,5870.34,469.92,4239
2024,September,9,35148.98,53555.06,2554,647.3,7550.22,11495.26,2548
2024,November,11,37968.98,42601.1,8094,340.22,3167.03,8918.64,2583
2024,July,29,11571.89,22997.99,5136,811.9,9526.79,19232.9,3457
2023,September,17,8515.41,35114.72,5107,657.24,947.56,8700.57,3620
2023,October,3,38674.76,46095.06,6256,550.41,2082.76,15473.27,4562
2024,April,25,35753.43,45547.41,7747,551.4,645.96,18552.27,204
2023,May,19,35322.74,16725.76,8776,475.37,740.07,11510.49,3158
2023,December,9,23537.79,49684.11,2387,614.97,6899.91,3272.11,3616
2023,June,25,27197.85,26889.12,4808,135.21,1443.41,14344.57,3981
2024,November,15,13284.49,45391.92,5349,130.47,6987.95,16495.62,3969
2023,April,9,46104.25,95186.88,4213,242.79,7290.81,7215.48,867
2024,November,1,25740.9,91612.44,7597,390.98,2947.05,18626.53,3994
2024,September,17,11077.55,30528.68,4893,290.43,2394.16,10808.03,4846
2024,January,3,36949.87,33330.63,5143,158.91,6008.39,17386.7,3955
2023,January,14,7639.47,25109.05,2842,935.41,9801.96,13989.73,409
2023,March,23,11949.04,95566.85,630,367.96,613.18,16738.73,691
2023,August,7,31062.37,12684.15,2515,623.83,7964.62,10021.67,4030
2023,July,27,14447.03,17102.25,2976,911.01,8664.71,16006.98,4841
2023,February,18,40411.03,17790.23,7181,485.46,4750.45,7335.2,480
2024,April,22,30750.67,94109.18,238,798.88,6576.4,15752.73,3369
2024,October,24,5538.83,17861.21,9423,275.5,1835.41,8747.19,2969
2024,September,22,47511.48,29639.68,5644,624.7,3496.45,6501.12,1696
2023,March,4,21596.92,89149.06,1001,743.3,4109.73,8684.77,4893
2023,October,26,17588.78,89054.55,3498,221.72,5961.31,17105.12,893
2024,October,27,4589.0,65845.05,8882,896.42,5516.45,8265.58,4594
2023,April,25,39249.8,16140.68,6278,697.56,7451.27,4756.53,293
